Código Produto;Produto;Quantidade em Estoque;Código Acesso;Dias Ult. Entrada;Custo Liq. Unitário
36888;CALCA LYCRA FEM BASICA UNICA TAM 52;3;1243;1.078,00;36,14
46603;CALCA LYCRA FEM BASICA UNICA TAM 54;5;46603;1.026,00;41,23
45346;CALCA MASC ELAST CEDROPAC BCO T 54 0002G1;2;45346;579;37,599
50437;CALCA MASC ELAST POLY BRANCO T 5G;3;50437;354;48,5
50438;CALCA MASC ELAST POLY BRANCO T P;1;50438;118,00;38,2068
58776;CALCA MASC ELAST POLYCED SUPER BCO T PP;7;58776;174,00;37,38
57497;CALCA MASC ELAST STRETCH DENIN BLUE CANAT T 3G;6;57497;354,00;49,85
57498;CALCA MASC ELAST STRETCH DENIN BLUE CANAT T 4G;12;57498;354;49,85
57499;CALCA MASC ELAST STRETCH DENIN BLUE CANAT T 5G;9;57499;354;49,85
57496;CALCA MASC ELAST STRETCH DENIN BLUE CANAT T GG;10;57496;354;44,5
57494;CALCA MASC ELAST STRETCH DENIN BLUE CANAT T M;1;57494;354;44,5
34318;CALCA MASC ELASTIC BRIM CZA T GG;1;13433;1.005,00;32,8958
34447;CALCA MASC ELASTIC BRIM CZA T P;5;13049;578;31,872
36955;CALCA MASC JEANS TRADIC SUJINHO CAQUI;4;1301;499;39,9
37112;CALCA MASC TD ELAST POLYCED TAM PP SUPER CINZA;1;1401;1.167,00;23,8857
58043;CALCA MASC TODA ELASTIC BRANCO T 3G POLYCEDROBRIM;3;58043;354;48,5
51107;CALCA MASC TODA ELASTIC BRANCO T 40 POLYCEDROBRIM;3;51107;184;43,76
51106;CALCA MASC TODA ELASTIC BRANCO T 42 POLYCEDROBRIM;1;51106;9;38,51
58044;CALCA MASC TODA ELASTIC BRANCO T 4G POLYCEDROBRIM;1;58044;354;48,5
58397;CALCA MASC TODA ELASTICO JEANS BLUE T 3G;3;58397;305;49,85
58399;CALCA MASC TODA ELASTICO JEANS BLUE T G;4;58399;297;44,5
58398;CALCA MASC TODA ELASTICO JEANS BLUE T GG;10;58398;297,00;44,5
58400;CALCA MASC TODA ELASTICO JEANS BLUE T M;1;58400;151;40,5184
58401;CALCA MASC TODA ELASTICO JEANS BLUE T P;3;58401;118;39,8412
58402;CALCA MASC TODA ELASTICO JEANS BLUE T PP;2;58402;118;39,6368
34457;CALCA PRETA SUB GER MASC T 40;2;1879391;67;53,0385
34453;CALCA PRETA SUB GER MASC T 46;1;1879384;494;53,95
46584;CALCA SOCIAL BI ELASTIC PTO T 34;2;46584;655;55,4874
50459;CALCA SOCIAL MASC BI ELASTIC T 50 PTO;9;50459;221;83,1063
34673;CALCA SOCIAL MASC ELASTIC PTO T 38;7;15856;151;70,965
34461;CALCA SOCIAL MASC ELASTIC PTO T 42;10;1879353;67;53,1279
34462;CALCA SOCIAL MASC ELASTIC PTO T 44;4;1879377;494;53,95
47745;CALCA SOCIAL MASC ELASTIC PTO T 52;3;47745;221;79,6594
40877;CALCA SOCIAL MASC ELASTIC PTO T 58 F00849;12;40877;402;80,05
34299;CALCA SOCIAL MASC PTO T 48;2;16300;221;81,59
28089;CALCA SUB GERENTE MASC PTO 54;4;7,89512E+12;578;55,0163
32825;CAMISA CEDROFIL BCO M C 14;6;1085747;118;51,7667
27227;CAMISA CEDROFIL BCO M C 3G;11;977388;588;30,24
32575;CAMISA CEDROFIL BCO M C M;14;790444;494;37,1829
32576;CAMISA CEDROFIL BCO M C P;19;7904209;41;52,8625
28647;CAMISA CEDROFIL BCO M C T 5G;9;5031439;537;49,3021
46953;CAMISA CEDROFIL BCO M C TG;7;46953;537;44,82
32810;CAMISA CEDROFIL BCO M L G;8;1,08E+06;588;53,535
32827;CAMISA CEDROFIL BCO M L M;2;15862;626;51,2723
32820;CAMISA CEDROFIL BCO M L P;18;1069518;41;74,655
32828;CAMISA CEDROFIL BCO M L PP;3;1071573;151;67,645
34578;CAMISA CEDROFIL BCO M L T 14;2;11780;174;67,645
50788;CAMISA CEDROFIL BCO M L T 5G;4;50788;559;71
53453;CAMISA CEDROFIL BRANCO M L T 7G;2;;221;85,075
45237;CAMISA CEDROFIL M C BRANCO T PP 0002G1;13;45237;537;44,82
34225;CAMISA CEDROFIL M C BRANCO TAM G;27;14403;405;40,9088
46954;CAMISA CEDROFIL M C BRANCO TAM GG;19;46954;537;44,82
34468;CAMISA CEDROFIL M C BRANCO TAM M;21;1090062;151;45,2799
40535;CAMISA CEDROFIL M C VERDE T GG;12;40535;537;44,82
36969;CAMISA CEDROFIL T 3G BCO MANGA LONG;2;1310;1.641,00;51,11
36968;CAMISA CEDROFIL T 4G BCO MANGA LONG;1;1309;1.641,00;51,11
46338;CAMISA CEDROFIL VDE M C T 3G;4;46338;626;49,3017
49993;CAMISA MANGA CURTA CEDROFIL BRANCO 0002G1 T 4G;6;49993;537;49,3021
49992;CAMISA MANGA CURTA CEDROFIL BRANCO T 3G;8;49992;537;49,302
57925;CAMISA MANGA CURTA CEDROFIL BRANCO T 7G;8;57925;221;67,095
57926;CAMISA MANGA CURTA CEDROFIL BRANCO T 8G;7;57926;402;66,53
36924;CAMISA MANGA LONGA CEDROFIL VDE T4G;2;1270;537,00;58,93
30197;CAMISA SUB GERENTE VDE M L G;15;7902159;151,00;59,7472
32661;CAMISA SUB GERENTE VDE M L GG;4;7902399;537;53,5334
32660;CAMISA SUB GERENTE VDE M L M;7;790208;151;73,187
32659;CAMISA SUB GERENTE VDE M L P;9;790185;279;65,218
32658;CAMISA SUB GERENTE VDE M L PP;7;790178;174;73,1524
27776;CAMISA TRIM VERDE M C G;8;8437829;537;42,3067
35346;CAMISA TRIM VERDE M C M;6;77298690;619;44,82
32740;CAMISA TRIM VERDE M C P;6;8437689;619;44,82
35199;CAMISAO BRIM BCO M C PP;11;2024080;151;32,2583
34230;CAMISAO BRIM MC BCO T G;6;1929058;151;38,7963
38355;CAMISAO FEM GOLA TRANS BCO M C T PP;6;38355;626;31,4567
35741;CAMISAO GL TRANSP BRIM BRANCO TAM GG;5;1929034;405;37,0529
32632;CAMISAO GL TRANSP BRIM BRANCO TAM M;2;1929041;151;41,057
27816;CAMISAO GL TRANSP BRIM BRANCO TAM P;11;290654;151;39,4208
53539;CAMISAO MASC TRANSP CEDROPAC M C T PP;10;53539;405;37,9
32612;CAMISETA DEL MORO EMPACOTADOR G;5;1871333;297;18,623
32615;CAMISETA DEL MORO EMPACOTADOR P;10;77227669;297;18,7422
32616;CAMISETA DEL MORO EMPACOTADOR PP;1;7903529;297;18,5869
55498;CAMISETA DEL MORO EMPACOTADOR T 4G;14;55498;320;21,1
55499;CAMISETA DEL MORO EMPACOTADOR T 5G;12;55499;221;20,5879
34234;CAMISETA DEL MORO EMPACOTADOR T GG;31;16698;221;17,8315
48085;CAMISETA DEL MORO EMPACOTADOR T3GG;26;48085;305;21,0988
32630;CAMISETA DEL MORO TREINAMEN VDE GG;6;13508;537;17,928
27832;CAMISETA DEL MORO TREINAMENTO M;1;926690;595;15,6537
34232;CAMISETA JOVEM APRENDIZ BCA T G;6;100647;118;18,8
34233;CAMISETA JOVEM APRENDIZ BCA T M;8;100646;151;15,604
50038;CAMISETA JOVEM APRENDIZ BCA T P;7;50038;151;15,6042
34235;CAMISETA JOVEM APRENDIZ BCA T PP;12;16114;151;16,8331
52082;CAMISETA JOVEM APRENDIZ PV BCA T G;6;52082;151;15,6038
35263;CAMISETA M C MALHA POLY BCO T G;4;14407;13;26,0625
55002;CAMISETA M C MALHA POLY BCO T P;1;55002;13;26,06
55003;CAMISETA M C MALHA POLY BCO T PP;2;55003;13;26,06
50328;CAMISETA M C PV VERDE MUSGO T 4G;6;50328;221;22,5545
37341;CAMISETA M C TREINAMENTO BCO T 4G;6;;537;17,5125
55103;CAMISETA M C VDE BAND T 4G;6;55103;537;20,0863
55102;CAMISETA M C VDE BAND T 5G;6;55102;537;20,0863
58406;CAMISETA M L PROT U V JIMP DRY BCO T G;2;58406;221;34,05
58425;CAMISETA M L PROT U V JIMP DRY BCO T M;7;58425;151;29,419
58428;CAMISETA M L PROT U V JIMP DRY BCO T P;2;;151;28,26
58716;CAMISETA M L PROT U V JIMP DRY MARINHO T G;3;;118;34,05
58715;CAMISETA M L PROT U V JIMP DRY MARINHO T M;4;;118;34,05
58714;CAMISETA M L PROT U V JIMP DRY MARINHO T P;4;;118;34,05
36305;CAMISETA MANGA CURTA PV VERDE MUSGO 2248 T.G;22;36305;7;18,9771
